id,kod_pytania,partia_numer,partia_tytul,zagadnienie,wariant,numer_pytania,pytanie_skrot,pytanie,odpowiedz_wzorcowa,notatka,ma_odpowiedz,zrodlo_plik
30,RUC-B12,2,Ruch i siły,Ruch i siły,B,12,Na klocek działają siły 3 N i 5 N w tym samym zwrocie. Jaka siła…,Na klocek działają siły 3 N i 5 N w tym samym zwrocie. Jaka siła wypadkowa? A przy przeciwnych zwrotach?,"Przy tym samym zwrocie siły się dodają: F_wyp = 3 N + 5 N = 8 N, skierowana zgodnie z obiema siłami. Przy przeciwnych zwrotach siły się odejmują: F_wyp = 5 N - 3 N = 2 N, skierowana w stronę większej siły (czyli tej 5 N). Pułapka: zwrot siły decyduje o tym, czy wartości się dodaje, czy odejmuje - nie można po prostu zsumować liczb bez uwzględnienia, w którą stronę działają.",pułapka: dodawanie sił bez uwzględnienia zwrotu,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
31,RUC-B13,2,Ruch i siły,Ruch i siły,B,13,"Odpychasz ścianę na łyżwach, ściana „odpycha"" Ciebie. Nazwij tę parę sił i…","Odpychasz ścianę na łyżwach, ściana „odpycha"" Ciebie. Nazwij tę parę sił i wyjaśnij, czemu Ty się poruszasz, a ściana nie.","To para sił akcji i reakcji, zgodna z III zasadą dynamiki Newtona (zasadą akcji i reakcji): Ty odpychasz ścianę pewną siłą, a ściana działa na Ciebie siłą o takiej samej wartości, ale przeciwnym zwrocie. Ty się poruszasz, bo Twoja masa jest znacznie mniejsza niż „masa"" ściany połączonej z budynkiem i Ziemią - przy tej samej sile Twoje przyspieszenie (a = F/m) jest dużo większe. Pułapka: to nie są dwie siły równoważące się na jednym ciele (jak przy I zasadzie) - działają one na dwa różne ciała (Ciebie i ścianę), dlatego mimo równych wartości skutki są zupełnie inne.",pułapka: mylenie III zasady z równoważeniem sił na jednym ciele,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
32,RUC-B14,2,Ruch i siły,Ruch i siły,B,14,Piłka na lodzie zwalnia bardzo powoli. Wyjaśnij to I zasadą dynamiki.,Piłka na lodzie zwalnia bardzo powoli. Wyjaśnij to I zasadą dynamiki.,"Zgodnie z I zasadą dynamiki (zasadą bezwładności), ciało pozostaje w spoczynku lub porusza się ruchem jednostajnym prostoliniowym, jeśli nie działa na nie żadna siła (lub siły się równoważą). Piłka na lodzie zwalnia bardzo powoli, ponieważ opór między nią a lodem (tarcie) jest bardzo mały, ale nie zerowy - to właśnie ta niewielka siła tarcia stopniowo ją hamuje. Gdyby tarcie było równe zeru, piłka poruszałaby się wiecznie ze stałą prędkością. Pułapka: mimo wrażenia „poślizgu"" tarcie jednak istnieje i jest jedyną przyczyną spowalniania.",pułapka: pomijanie tarcia jako siły,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
33,RUC-B15,2,Ruch i siły,Ruch i siły,B,15,Ten sam wózek pchnięty tą samą siłą — pusty i obciążony — przyspiesza…,Ten sam wózek pchnięty tą samą siłą — pusty i obciążony — przyspiesza inaczej. Wyjaśnij przez II zasadę dynamiki.,"Zgodnie z II zasadą dynamiki, a = F/m - przy tej samej sile F przyspieszenie jest odwrotnie proporcjonalne do masy ciała. Wózek obciążony ma większą masę, więc przy tej samej sile pchnięcia uzyskuje mniejsze przyspieszenie (przyspiesza wolniej) niż wózek pusty. Pułapka: chodzi tu o masę (miarę bezwładności ciała), a nie o ciężar (czyli siłę grawitacji działającą na ciało) - to właśnie masa decyduje o tym, jak trudno zmienić prędkość ciała daną siłą.",pułapka: mylenie masy z ciężarem,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
34,RUC-B16,2,Ruch i siły,Ruch i siły,B,16,Z tej samej wysokości spuszczono jednocześnie w próżni kamień i piłeczkę…,Z tej samej wysokości spuszczono jednocześnie w próżni kamień i piłeczkę pingpongową. Która spadnie pierwsza?,"W próżni oba ciała spadną jednocześnie i dotrą do ziemi w tym samym momencie, ponieważ nie ma tam oporu powietrza, a przyspieszenie grawitacyjne g jest takie samo dla wszystkich ciał, niezależnie od ich masy. Pułapka: potoczna intuicja podpowiada, że cięższe ciało spada szybciej, ale jest to prawda tylko wtedy, gdy występuje opór powietrza (np. kartka papieru kontra kamień w powietrzu) - w próżni ta różnica całkowicie znika.","pułapka: intuicja, że cięższe ciało spada szybciej",TAK,odpowiedzi-fizyka-ruch-i-sily.csv
35,RUC-B17,2,Ruch i siły,Ruch i siły,B,17,Oblicz siłę ciężkości ciała o masie 5 kg (g=10 N/kg).,Oblicz siłę ciężkości ciała o masie 5 kg (g=10 N/kg).,"F_ciężkości = m × g = 5 kg × 10 N/kg = 50 N. Pułapka: masa (5 kg) i siła ciężkości (50 N) to dwie różne wielkości fizyczne o różnych jednostkach - masy nie wolno utożsamiać z siłą; siłę ciężkości zawsze trzeba obliczyć, mnożąc masę ciała przez przyspieszenie ziemskie g.",pułapka: mylenie masy z siłą ciężkości,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
36,RUC-B18,2,Ruch i siły,Ruch i siły,B,18,Zaproponuj domowe doświadczenie pokazujące III zasadę dynamiki.,Zaproponuj domowe doświadczenie pokazujące III zasadę dynamiki.,"Przykład: stań na deskorolce (lub usiądź w fotelu obrotowym / na wózku) i mocno odepchnij ścianę lub inną osobę rękami - w efekcie sam(a) odjedziesz do tyłu. Ilustruje to III zasadę dynamiki: siła, jaką Ty działasz na ścianę/osobę, wywołuje siłę zwrotną (reakcję) o takiej samej wartości, ale przeciwnym zwrocie, działającą na Ciebie. Pułapka: aby doświadczenie faktycznie pokazywało III zasadę, muszą być widoczne dwa oddziałujące na siebie ciała (Ty i ściana/osoba) - opis, w którym coś po prostu przyspiesza pod wpływem jednej siły, ilustrowałby II zasadę, a poruszanie się ze stałą prędkością bez działania siły - I zasadę.",pułapka: opis w rzeczywistości ilustrujący I lub II zasadę,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
37,RUC-B19,2,Ruch i siły,Ruch i siły,B,19,"Jak wyznaczyć prędkość kulki na torze, mając tylko stoper i taśmę…","Jak wyznaczyć prędkość kulki na torze, mając tylko stoper i taśmę mierniczą?","Trzeba zmierzyć zarówno drogę, jaką pokonuje kulka na torze (taśmą mierniczą), jak i czas potrzebny na jej pokonanie (stoperem), a następnie obliczyć prędkość ze wzoru v = s/t. Pułapka: ani sama droga, ani sam czas nie wystarczą do wyznaczenia prędkości - jest ona ilorazem obu tych wielkości, więc trzeba zmierzyć je jednocześnie, dla tego samego odcinka ruchu kulki.","pułapka: pominięcie konieczności zmierzenia zarówno drogi, jak i czasu",TAK,odpowiedzi-fizyka-ruch-i-sily.csv
38,RUC-B20,2,Ruch i siły,Ruch i siły,B,20,Na czym polega pomiar siły siłomierzem — co odczytujemy i dlaczego się…,Na czym polega pomiar siły siłomierzem — co odczytujemy i dlaczego się rozciąga?,"Siłomierz mierzy siłę na podstawie rozciągnięcia (odkształcenia) sprężyny znajdującej się w jego wnętrzu - im większa działająca na niego siła (np. ciężar zawieszonego ciała), tym bardziej sprężyna się rozciąga, zgodnie z prawem Hooke'a (rozciągnięcie jest proporcjonalne do siły). Na skali odczytujemy więc wartość siły (w niutonach), a nie masę ciała. Pułapka: siłomierz pokazuje siłę (N), a nie masę (kg) - żeby z odczytu otrzymać masę, trzeba by dodatkowo podzielić odczytaną siłę przez g.",pułapka: mylenie odczytu siły z masą ciała,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
39,RUC-C01,2,Ruch i siły,Ruch i siły,C,1,"Rowerzysta jedzie 20 min ze stałą prędkością 15 km/h, potem 10 min…","Rowerzysta jedzie 20 min ze stałą prędkością 15 km/h, potem 10 min jednostajnie hamuje do zera. Oszacuj „na oko"", w którym fragmencie przejechał więcej — a potem policz.","Fragment 1 (ruch jednostajny): s1 = v × t = 15 km/h × (20/60) h = 15 × 1/3 = 5 km. Fragment 2 (jednostajne hamowanie z 15 km/h do 0 w ciągu 10 min): ponieważ prędkość maleje liniowo, prędkość średnia wynosi (15 + 0)/2 = 7,5 km/h, więc s2 = 7,5 km/h × (10/60) h = 7,5 × 1/6 = 1,25 km. Rowerzysta przejechał więc zdecydowanie więcej w pierwszym fragmencie (5 km) niż w drugim (1,25 km) - mimo takiej samej prędkości początkowej, krótszy czas trwania i malejąca do zera prędkość dają dużo mniejszy dystans w drugim etapie. Zadanie łączy pojęcie prędkości średniej w ruchu jednostajnie opóźnionym z obliczeniem drogi w ruchu jednostajnym.",,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
40,RUC-C02,2,Ruch i siły,Ruch i siły,C,2,"Ciało 2 kg spoczywa na stole. Wskaż działające siły, wyjaśnij ich…","Ciało 2 kg spoczywa na stole. Wskaż działające siły, wyjaśnij ich równowagę (I zasada) i oblicz siłę nacisku na stół.","Na ciało działają dwie siły: siła ciężkości Fg = m × g = 2 kg × 10 N/kg = 20 N, skierowana pionowo w dół, oraz siła reakcji podłoża (siła normalna) wywierana przez stół na ciało, skierowana pionowo w górę. Ponieważ ciało pozostaje w spoczynku (nie przyspiesza), zgodnie z I zasadą dynamiki te dwie siły muszą się równoważyć, czyli mieć równe wartości i przeciwne zwroty - obie wynoszą 20 N. Siła nacisku ciała na stół to reakcja do siły podłoża na ciało (zgodnie z III zasadą dynamiki) i również wynosi 20 N, tyle że jest skierowana w dół i działa na stół, a nie na ciało.",,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
41,RUC-C03,2,Ruch i siły,Ruch i siły,C,3,Dwa wózki o różnej masie popychasz tą samą siłą przez tę samą chwilę…,Dwa wózki o różnej masie popychasz tą samą siłą przez tę samą chwilę. Który zyska większą prędkość? Połącz II zasadę z prędkością i czasem.,"Zgodnie z II zasadą dynamiki, F = m × a, więc a = F/m - przy tej samej sile mniejsza masa daje większe przyspieszenie. Zaczynając od spoczynku, prędkość po czasie t wynosi v = a × t, a ponieważ przyspieszenie jest większe dla wózka lżejszego, to właśnie ten wózek (o mniejszej masie) zyska większą prędkość w tym samym czasie działania tej samej siły. Wózek cięższy, mimo identycznej siły, przyspiesza wolniej i osiągnie mniejszą prędkość w tej samej chwili.",,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
42,RUC-C04,2,Ruch i siły,Ruch i siły,C,4,"Wahadło spadające swobodnie przyspiesza. Oszacuj, o ile wzrośnie prędkość…","Wahadło spadające swobodnie przyspiesza. Oszacuj, o ile wzrośnie prędkość w każdej kolejnej sekundzie, zanim to obliczysz.","W spadku swobodnym przyspieszenie jest stałe i wynosi g ≈ 10 m/s² (w przybliżeniu). Oznacza to, że w każdej kolejnej sekundzie prędkość wzrasta o tę samą wartość - około 10 m/s. Sprawdzenie: v(t) = g × t, więc po 1 s prędkość wynosi ok. 10 m/s, po 2 s - 20 m/s, po 3 s - 30 m/s. Przyrost prędkości w każdej kolejnej sekundzie jest więc stały i wynosi 10 m/s, co jest właśnie istotą ruchu jednostajnie przyspieszonego.",,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
43,RUC-D01,2,Ruch i siły,Ruch i siły,D,1,Kolega: „Siła wypadkowa 4 N i 6 N w tym samym kierunku i zwrocie wynosi 2…,"Kolega: „Siła wypadkowa 4 N i 6 N w tym samym kierunku i zwrocie wynosi 2 N"".","Tak, kolega popełnił błąd. Gdy dwie siły działają w tym samym kierunku i tym samym zwrocie, ich wartości należy dodać, a nie odjąć: F_wyp = 4 N + 6 N = 10 N, a nie 2 N. Wynik 2 N powstałby dopiero wtedy, gdyby siły miały przeciwne zwroty (wówczas się je odejmuje: 6 N - 4 N = 2 N) - kolega najwyraźniej pomylił sytuację „ten sam zwrot"" z sytuacją „zwroty przeciwne"". Aby mu to wytłumaczyć, warto narysować obie siły jako strzałki zwrócone w tę samą stronę i pokazać, że wypadkowa to suma długości tych strzałek, czyli 10 N.",zadanie zawiera błąd,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
44,RUC-D02,2,Ruch i siły,Ruch i siły,D,2,"Koleżanka: „Cięższe ciało spada szybciej w próżni, bo ma większą siłę…","Koleżanka: „Cięższe ciało spada szybciej w próżni, bo ma większą siłę ciężkości"".","Tak, koleżanka popełniła błąd. To prawda, że cięższe ciało ma większą siłę ciężkości (Fg = m × g), ale przyspieszenie, z jakim ciało spada w próżni, nie zależy od jego masy - w próżni każde ciało spada z takim samym przyspieszeniem g (ok. 10 m/s²), niezależnie od tego, jak jest ciężkie. Koleżanka pomyliła siłę ciężkości (która rzeczywiście jest większa dla cięższego ciała) z przyspieszeniem (które jest jednakowe dla wszystkich mas w próżni) - większa siła działa wprawdzie na większą masę, ale te dwa efekty dokładnie się znoszą (a = F/m = mg/m = g), dając to samo przyspieszenie dla każdego ciała.",zadanie zawiera błąd,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
45,RUC-D03,2,Ruch i siły,Ruch i siły,D,3,Kolega: przyspieszenie z 5 do 15 m/s w 5 s obliczył jako a=15/5=3 m/s².,Kolega: przyspieszenie z 5 do 15 m/s w 5 s obliczył jako a=15/5=3 m/s².,"Tak, kolega popełnił błąd. Przyspieszenie oblicza się ze wzoru a = Δv/t, czyli zmianę prędkości (a nie samą prędkość końcową) dzieli się przez czas. Δv = 15 m/s - 5 m/s = 10 m/s, więc poprawnie: a = 10 m/s / 5 s = 2 m/s², a nie 3 m/s², które kolega otrzymał, dzieląc błędnie samą prędkość końcową (15) przez czas (5), pomijając prędkość początkową. Aby to wytłumaczyć koledze, warto podkreślić, że najpierw trzeba obliczyć, o ile prędkość faktycznie wzrosła (różnica końcowej i początkowej), a dopiero potem tę zmianę podzielić przez czas.",zadanie zawiera błąd,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
46,ENE-A01,3,Energia,Energia,A,1,"Czym różni się energia kinetyczna od potencjalnej? Co „przechowuje"" każda…","Czym różni się energia kinetyczna od potencjalnej? Co „przechowuje"" każda z nich?","Energia kinetyczna to energia ruchu — ma ją każde ciało, które się porusza, i zależy od jego masy oraz prędkości (im szybciej i im cięższe ciało, tym większa Ek). Energia potencjalna to energia „zmagazynowana"" dzięki położeniu lub stanowi ciała, a nie ruchowi — np. energia potencjalna grawitacji zależy od wysokości nad jakimś poziomem odniesienia, a energia potencjalna sprężystości od odkształcenia sprężyny. Można powiedzieć, że energia kinetyczna „przechowuje"" ruch, a potencjalna — możliwość wykonania pracy w przyszłości (np. gdy ciało spadnie albo sprężyna się rozpręży).",,TAK,odpowiedzi-energia-partia-3.csv
47,ENE-A02,3,Energia,Energia,A,2,"Po co wprowadza się pojęcie pracy mechanicznej, skoro mamy już pojęcie…","Po co wprowadza się pojęcie pracy mechanicznej, skoro mamy już pojęcie siły?","Sama siła mówi tylko, jak mocno coś na ciało działa w danej chwili, ale nie mówi, ile energii zostało dzięki temu przekazane ciału. Praca mechaniczna łączy siłę z przemieszczeniem (W = F·s), więc pozwala policzyć, ile energii zużyto lub zyskano w wyniku działania siły na pewnym odcinku drogi. Dzięki pojęciu pracy możemy porównywać różne sytuacje — np. pchanie ciężkiego przedmiotu na krótkim i długim dystansie — i łączyć mechanikę z energią, bo praca jest właśnie sposobem przekazywania energii z jednego ciała na drugie.",,TAK,odpowiedzi-energia-partia-3.csv
48,ENE-B01,3,Energia,Energia,B,1,Pchasz szafę siłą 50 N na 3 m. Oblicz pracę. Czy praca zmieniłaby się…,"Pchasz szafę siłą 50 N na 3 m. Oblicz pracę. Czy praca zmieniłaby się, gdyby szafa się nie ruszyła?","Praca wynosi W = F·s = 50 N · 3 m = 150 J. Gdyby szafa się nie ruszyła (przemieszczenie s = 0), praca mechaniczna wyniosłaby 0 J, mimo że nadal działamy siłą 50 N. To dlatego, że praca mechaniczna wymaga zarówno siły, jak i przemieszczenia w kierunku jej działania — sama siła bez przesunięcia to nie jest jeszcze praca. Typowy błąd to myślenie, że skoro się wysilamy (np. pchamy z całych sił), to wykonujemy pracę — fizycznie liczy się jednak efekt w postaci przesunięcia.",pułapka: sama siła bez przesunięcia to jeszcze nie praca,TAK,odpowiedzi-energia-partia-3.csv
49,ENE-B02,3,Energia,Energia,B,2,"Dwóch uczniów wnosi tę samą walizkę na piętro — jeden w 10 s, drugi w 20…","Dwóch uczniów wnosi tę samą walizkę na piętro — jeden w 10 s, drugi w 20 s. Który wykonał większą pracę, a który moc?","Praca wykonana przez obu uczniów jest taka sama, bo praca zależy od siły (ciężaru walizki) i przemieszczenia (tej samej wysokości piętra) — czas nie wchodzi do wzoru na pracę (W = F·s). Różni się natomiast moc, czyli szybkość wykonywania pracy: P = W/t. Uczeń, który wniósł walizkę w 10 s, wykonał tę samą pracę w krótszym czasie, więc rozwinął większą moc niż uczeń, który potrzebował 20 s. Częsty błąd to mylenie tych pojęć — „szybszy"" nie znaczy „wykonał większą pracę"", tylko „miał większą moc"".",pułapka: mylenie pracy z mocą,TAK,odpowiedzi-energia-partia-3.csv
50,ENE-B03,3,Energia,Energia,B,3,"Piłka podniesiona ma energię potencjalną, tocząca się — kinetyczną…","Piłka podniesiona ma energię potencjalną, tocząca się — kinetyczną, ściśnięta sprężyna — potencjalną sprężystości. Wskaż źródło każdej.","Piłka podniesiona nad ziemię ma energię potencjalną grawitacji, której źródłem jest jej wysokość względem poziomu odniesienia (im wyżej, tym większa Ep = m·g·h). Piłka tocząca się ma energię kinetyczną, której źródłem jest jej ruch — konkretnie masa i prędkość (Ek = ½·m·v²). Ściśnięta sprężyna ma energię potencjalną sprężystości, której źródłem jest jej odkształcenie (ściśnięcie lub rozciągnięcie) — im bardziej odkształcona, tym więcej energii ma zmagazynowanej. Ważne jest, by nie mylić energii potencjalnej grawitacji z kinetyczną, gdy ciało zaczyna się poruszać w dół — dopóki piłka wisi nieruchomo, ma tylko Ep; gdy spada, część Ep zamienia się w Ek.",pułapka: mylenie energii potencjalnej grawitacji z kinetyczną przy ruchu w dół,TAK,odpowiedzi-energia-partia-3.csv
51,ENE-B04,3,Energia,Energia,B,4,"Piłka 0,5 kg podniesiona na 2 m (g=10 N/kg) — oblicz energię potencjalną.","Piłka 0,5 kg podniesiona na 2 m (g=10 N/kg) — oblicz energię potencjalną.","Energię potencjalną liczymy ze wzoru Ep = m·g·h. Podstawiając dane: Ep = 0,5 kg · 10 N/kg · 2 m = 10 J. Kluczowe jest podstawienie wszystkich trzech wielkości — masy, przyspieszenia ziemskiego i wysokości w metrach — do jednego wzoru; częstym błędem jest pominięcie masy (liczenie tylko g·h) albo podanie wysokości w innej jednostce niż metry bez przeliczenia.",pułapka: pominięcie masy lub błędna jednostka wysokości,TAK,odpowiedzi-energia-partia-3.csv
52,ENE-B05,3,Energia,Energia,B,5,Piłka spada swobodnie. Co dzieje się z jej energią potencjalną i…,Piłka spada swobodnie. Co dzieje się z jej energią potencjalną i kinetyczną aż do uderzenia o ziemię?,"W miarę spadania piłka traci wysokość, więc jej energia potencjalna maleje, a jednocześnie zyskuje prędkość, więc jej energia kinetyczna rośnie. Zgodnie z zasadą zachowania energii mechanicznej (przy pominięciu oporu powietrza) suma Ep + Ek pozostaje przez cały czas taka sama — energia nie znika, tylko zmienia formę z potencjalnej na kinetyczną. Tuż przed uderzeniem o ziemię (h≈0) niemal cała energia potencjalna zamieniła się w kinetyczną. Błędem byłoby stwierdzenie, że energia „znika"" — ona się przekształca, a nie zanika.","pułapka: twierdzenie, że energia znika, zamiast że zmienia formę",TAK,odpowiedzi-energia-partia-3.csv
53,ENE-C01,3,Energia,Energia,C,1,"Piłka spada z 5 m. Oszacuj „na oko"", czy energia kinetyczna tuż przed…","Piłka spada z 5 m. Oszacuj „na oko"", czy energia kinetyczna tuż przed uderzeniem będzie większa, mniejsza czy taka sama jak początkowa energia potencjalna (bez oporu powietrza) — potem uzasadnij zasadą zachowania energii.","Energia kinetyczna tuż przed uderzeniem będzie taka sama jak początkowa energia potencjalna. Wynika to z zasady zachowania energii mechanicznej: jeśli nie ma oporu powietrza ani innych strat (np. na tarcie), cała energia potencjalna, jaką piłka miała na wysokości 5 m, w trakcie spadku zamienia się w energię kinetyczną — nic po drodze nie „ucieka"" z układu. Dlatego w chwili tuż przed uderzeniem, gdy wysokość jest praktycznie równa zeru (Ep≈0), niemal cała energia jest już energią kinetyczną, a jej wartość liczbowa jest równa początkowej Ep = m·g·h.",,TAK,odpowiedzi-energia-partia-3.csv
54,ENE-C02,3,Energia,Energia,C,2,"Dwie osoby wykonują tę samą pracę, podnosząc identyczne skrzynie, ale…","Dwie osoby wykonują tę samą pracę, podnosząc identyczne skrzynie, ale jedna szybciej. Co jest takie samo, a co różne (praca vs moc)?","Praca wykonana przez obie osoby jest taka sama, bo obie podnoszą identyczne skrzynie (ta sama siła potrzebna do pokonania ciężaru) na tę samą wysokość (to samo przemieszczenie) — praca zależy tylko od tych dwóch wielkości, nie od czasu. Różni się natomiast moc: osoba, która wykonała tę pracę szybciej, potrzebowała krótszego czasu, więc jej moc (P = W/t) jest większa. Innymi słowy: obie włożyły tyle samo „energii"" w podniesienie skrzyni, ale jedna zrobiła to z większą intensywnością/tempem.",,TAK,odpowiedzi-energia-partia-3.csv
55,ENE-C03,3,Energia,Energia,C,3,"Wahadło wychylone maksymalnie na chwilę się zatrzymuje. Wytłumacz, co…","Wahadło wychylone maksymalnie na chwilę się zatrzymuje. Wytłumacz, co dzieje się z jego energią w tym momencie i chwilę później.","W punkcie maksymalnego wychylenia wahadło ma prędkość równą zeru, więc jego energia kinetyczna w tej chwili wynosi 0, a cała energia mechaniczna układu jest w tym momencie energią potencjalną (wahadło jest najwyżej podniesione względem najniższego punktu toru). Chwilę później, gdy wahadło zaczyna poruszać się z powrotem w dół, jego wysokość maleje, więc energia potencjalna zaczyna się zmniejszać, a energia kinetyczna rośnie kosztem tej ubywającej Ep — suma obu energii (przy pominięciu oporów) pozostaje stała przez cały ruch wahadła. To pokazuje, że punkt maksymalnego wychylenia to nie jest miejsce, w którym energia „znika"", tylko chwila, w której cała energia mechaniczna ma akurat postać potencjalną.",,TAK,odpowiedzi-energia-partia-3.csv
56,ENE-D01,3,Energia,Energia,D,1,"Kolega: „Trzymając ciężką torbę nieruchomo przez 5 minut, wykonuję dużą…","Kolega: „Trzymając ciężką torbę nieruchomo przez 5 minut, wykonuję dużą pracę, bo się męczę"".","Kolega się myli. W sensie fizycznym praca mechaniczna wynosi tu 0 J, ponieważ praca to W = F·s, a przemieszczenie s wynosi zero — torba nie zmienia swojego położenia (nie unosi się ani nie opada), mimo że kolega cały czas działa na nią siłą równą jej ciężarowi. To, że kolega odczuwa zmęczenie, wynika z pracy wykonywanej wewnątrz jego mięśni na poziomie biologicznym (zużycie energii chemicznej, napinanie włókien mięśniowych), a nie z pracy mechanicznej wykonanej nad torbą. Warto koledze wytłumaczyć, że w fizyce „praca"" ma ścisłą definicję związaną z przemieszczeniem, i nie każde wysilenie ciała jest pracą mechaniczną.",zadanie zawiera błąd,TAK,odpowiedzi-energia-partia-3.csv
57,ENE-D02,3,Energia,Energia,D,2,Koleżanka obliczyła Ep ciała 2 kg na 3 m jako Ep=2+3+10=15 J.,Koleżanka obliczyła Ep ciała 2 kg na 3 m jako Ep=2+3+10=15 J.,"Koleżanka popełniła błąd — energii potencjalnej nie liczy się przez dodawanie wartości masy, wysokości i przyspieszenia ziemskiego, tylko przez ich mnożenie: Ep = m·g·h. Podstawiając dane: Ep = 2 kg · 10 N/kg · 3 m = 60 J, a nie 15 J. Warto pokazać koleżance, że we wzorze na energię potencjalną wszystkie trzy wielkości są ze sobą mnożone, a nie sumowane — to jeden z częstszych błędów rachunkowych przy tym wzorze, zwłaszcza gdy liczby są proste i „kuszą"" do zsumowania.",zadanie zawiera błąd,TAK,odpowiedzi-energia-partia-3.csv
58,CIE-A01,4,Zjawiska cieplne,Zjawiska cieplne,A,1,Czym różni się temperatura od ciepła?,Czym różni się temperatura od ciepła?,,,NIE,BRAK - do uzupelnienia
59,CIE-A02,4,Zjawiska cieplne,Zjawiska cieplne,A,2,"Dlaczego temperatura topniejącego lodu nie rośnie, mimo stałego…","Dlaczego temperatura topniejącego lodu nie rośnie, mimo stałego dostarczania ciepła?",,,NIE,BRAK - do uzupelnienia
60,CIE-B01,4,Zjawiska cieplne,Zjawiska cieplne,B,1,Gorąca herbata stoi w chłodnym pokoju. Co dzieje się z temperaturą obu do…,Gorąca herbata stoi w chłodnym pokoju. Co dzieje się z temperaturą obu do osiągnięcia równowagi?,,"pułapka: „zimno przepływa"" zamiast ciepła w drugą stronę",NIE,BRAK - do uzupelnienia
61,CIE-B02,4,Zjawiska cieplne,Zjawiska cieplne,B,2,Przelicz 20°C na skalę Kelvina.,Przelicz 20°C na skalę Kelvina.,,pułapka: odejmowanie zamiast dodawania 273,NIE,BRAK - do uzupelnienia
62,CIE-B03,4,Zjawiska cieplne,Zjawiska cieplne,B,3,"Podaj przykład zmiany energii wewnętrznej przez wykonanie pracy, inny niż…","Podaj przykład zmiany energii wewnętrznej przez wykonanie pracy, inny niż ogrzewanie.",,pułapka: podawanie tylko przykładów przekazywania ciepła,NIE,BRAK - do uzupelnienia
63,CIE-B04,4,Zjawiska cieplne,Zjawiska cieplne,B,4,"Wytłumacz, dlaczego wyższa temperatura oznacza szybszy chaotyczny ruch…","Wytłumacz, dlaczego wyższa temperatura oznacza szybszy chaotyczny ruch cząsteczek, a nie ich większy rozmiar.",,pułapka: mylenie temperatury z rozmiarem/ilością cząsteczek,NIE,BRAK - do uzupelnienia
64,CIE-B05,4,Zjawiska cieplne,Zjawiska cieplne,B,5,Dlaczego metalowa łyżka w zupie szybciej się nagrzewa niż drewniana?,Dlaczego metalowa łyżka w zupie szybciej się nagrzewa niż drewniana?,,pułapka: tłumaczenie grubością łyżki zamiast rodzajem materiału,NIE,BRAK - do uzupelnienia
65,CIE-B06,4,Zjawiska cieplne,Zjawiska cieplne,B,6,"Dlaczego grzejnik ustawia się nisko, a nie pod sufitem?","Dlaczego grzejnik ustawia się nisko, a nie pod sufitem?",,"pułapka: pominięcie unoszenia się cieplejszego, mniej gęstego powietrza",NIE,BRAK - do uzupelnienia
66,CIE-B07,4,Zjawiska cieplne,Zjawiska cieplne,B,7,"Woda wrze cały czas w 100°C mimo dalszego podgrzewania. Gdzie „znika""…","Woda wrze cały czas w 100°C mimo dalszego podgrzewania. Gdzie „znika"" dostarczane ciepło?",,pułapka: brak wzrostu temperatury = brak dostarczania energii,NIE,BRAK - do uzupelnienia
67,CIE-B08,4,Zjawiska cieplne,Zjawiska cieplne,B,8,Jak zaobserwować proces skraplania w prostym doświadczeniu domowym?,Jak zaobserwować proces skraplania w prostym doświadczeniu domowym?,,pułapka: mylenie skraplania z parowaniem,NIE,BRAK - do uzupelnienia
68,CIE-B09,4,Zjawiska cieplne,Zjawiska cieplne,B,9,Pręt metalowy i drewniany podgrzewane z jednej strony świeczką — jak…,"Pręt metalowy i drewniany podgrzewane z jednej strony świeczką — jak sprawdzić, który lepiej przewodzi ciepło?",,pułapka: brak pomysłu na obiektywne porównanie,NIE,BRAK - do uzupelnienia
69,CIE-B10,4,Zjawiska cieplne,Zjawiska cieplne,B,10,"Zaproponuj doświadczenie pokazujące, że tarcie (praca) podnosi temperaturę…","Zaproponuj doświadczenie pokazujące, że tarcie (praca) podnosi temperaturę bez dostarczania ciepła z zewnątrz.",,,NIE,BRAK - do uzupelnienia
70,CIE-C01,4,Zjawiska cieplne,Zjawiska cieplne,C,1,"Kostka lodu topi się w szklance wody pokojowej. Oszacuj „na oko"", czy…","Kostka lodu topi się w szklance wody pokojowej. Oszacuj „na oko"", czy temperatura równowagi będzie bliższa lodu czy wody, potem wytłumacz przewodnictwem i równowagą termiczną.",,,NIE,BRAK - do uzupelnienia
