id,kod,przedmiot,partia_numer,partia_tytul,zagadnienie,wariant,numer_pytania,streszczenie_pytania,pytanie,odpowiedz_wzorcowa,notatka
27,CHEM-P2-B08,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,B,8,Dlaczego elektrony walencyjne decydują o wiązaniach,"Dlaczego to elektrony z ostatniej powłoki (a nie np. z powłoki wewnętrznej) decydują o tym, jak atom łączy się z innymi atomami?","Elektrony walencyjne, czyli te na ostatniej (najbardziej zewnętrznej) powłoce, znajdują się najdalej od jądra i są z nim najsłabiej związane, więc to one jako pierwsze biorą udział w oddziaływaniach z innymi atomami — mogą być oddawane, przyjmowane lub uwspólniane. Elektrony na powłokach wewnętrznych są znacznie silniej przyciągane przez jądro i dodatkowo „osłonięte” przez elektrony znajdujące się bliżej powierzchni atomu, więc praktycznie nie uczestniczą w tworzeniu wiązań chemicznych. Dlatego to właśnie liczba i rozmieszczenie elektronów walencyjnych decyduje o tym, w jaki sposób i z jakimi atomami dany pierwiastek się połączy.",pułapka: brak rozróżnienia elektronów walencyjnych od pozostałych
28,CHEM-P2-B09,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,B,9,Wzory NH3 i CH4 – wiązanie kowalencyjne,"Zapisz wzór sumaryczny i strukturalny amoniaku (NH₃) i metanu (CH₄). Czy wiązania w tych cząsteczkach są kowalencyjne czy jonowe? Uzasadnij, odwołując się do elektroujemności.","Amoniak: wzór sumaryczny NH₃, wzór strukturalny to atom azotu w środku połączony trzema pojedynczymi wiązaniami z trzema atomami wodoru (H–N(–H)–H), z dodatkową wolną parą elektronową na azocie. Metan: wzór sumaryczny CH₄, wzór strukturalny to atom węgla w środku połączony czterema pojedynczymi wiązaniami z czterema atomami wodoru. W obu cząsteczkach wiązania są kowalencyjne (atomowe) — azot, węgiel i wodór to niemetale, a różnica elektroujemności między nimi jest zbyt mała, by doszło do całkowitego przeniesienia elektronu z jednego atomu na drugi (co jest cechą wiązania jonowego). Zamiast tego atomy dzielą się wspólnymi parami elektronowymi, tworząc wiązanie kowalencyjne.",pułapka: przypisanie wiązania jonowego związkom dwóch niemetali
29,CHEM-P2-B10,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,B,10,Jony Na+ i O2- w Na2O,Zapisz jony powstające z atomów sodu i tlenu wraz z ładunkiem i wskaż je we wzorze Na₂O.,"Sód (grupa 1, 1 elektron walencyjny) oddaje ten jeden elektron, tworząc jon Na⁺. Tlen (grupa 16, 6 elektronów walencyjnych) przyjmuje 2 brakujące elektrony do oktetu, tworząc jon O²⁻. We wzorze Na₂O znajdują się 2 jony Na⁺ i 1 jon O²⁻ — taki dobór indeksów bilansuje ładunki: 2×(+1) + 1×(−2) = 0, więc cały związek jest elektrycznie obojętny.","pułapka: błędny ładunek jonu tlenu — powinno być O²⁻, nie O⁻"
30,CHEM-P2-B11,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,B,11,Związek jonowy vs kowalencyjny – cechy,Podaj po jednej cesze odróżniającej związek jonowy od kowalencyjnego dotyczącej: stanu skupienia w temperaturze pokojowej oraz przewodzenia prądu.,"Stan skupienia: związki jonowe są w temperaturze pokojowej zazwyczaj ciałami stałymi o wysokiej temperaturze topnienia, ponieważ jony w sieci krystalicznej są mocno przyciągane siłami elektrostatycznymi we wszystkich kierunkach; związki kowalencyjne to znacznie częściej gazy, ciecze lub miękkie ciała stałe o niższych temperaturach topnienia, bo siły między cząsteczkami są słabsze. Przewodzenie prądu: związki jonowe przewodzą prąd elektryczny dopiero w stanie stopionym lub rozpuszczonym w wodzie, gdy jony stają się swobodnie ruchome — w stanie stałym NIE przewodzą, bo jony są uwięzione w sztywnej sieci krystalicznej. Związki kowalencyjne (np. cukier, woda destylowana) zwykle prądu nie przewodzą, bo nie zawierają swobodnych nośników ładunku.","pułapka: przypisanie przewodnictwa elektrycznego związkom jonowym w stanie stałym, zamiast w roztworze/stopie"
31,CHEM-P2-B12,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,B,12,Wartościowość fosforu względem H i O,"Fosfor jest w grupie 15. Jaka jest jego wartościowość względem wodoru, a jaka maksymalna względem tlenu?","Wartościowość względem wodoru dla pierwiastków grup 14–17 liczymy jako 8 minus numer grupy: 8 − 15 = 3, więc fosfor jest trójwartościowy względem wodoru (tworzy PH₃ — fosforowodór). Maksymalna wartościowość względem tlenu dla grup głównych odpowiada numerowi grupy w starszej, rzymskiej numeracji (grupa 15 = grupa VA), czyli wynosi 5 (fosfor tworzy wtedy P₂O₅). Uwaga: to dwa różne sposoby liczenia — dla wodoru odejmujemy numer grupy od 8, a dla tlenu bierzemy sam numer grupy głównej — nie wolno stosować jednego wzoru do obu przypadków.",pułapka: mylenie sposobu wyliczania obu wartościowości
32,CHEM-P2-B13,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,B,13,"Nazwa SO3, wzór tlenku azotu(V)","Związek chemiczny ma wzór SO₃. Podaj jego nazwę. Znając nazwę „tlenek azotu(V)”, zapisz jego wzór sumaryczny.","SO₃ to tlenek siarki(VI) — siarka ma tu wartościowość VI, bo trzy atomy tlenu (każdy o wartościowości II) dają w sumie 3×2=6, co musi zrównoważyć wartościowość jednego atomu siarki: 1×6=6. Dla tlenku azotu(V): azot ma wartościowość V, tlen zawsze II, więc dobieramy indeksy tak, by iloczyny się zgadzały — najmniejsza wspólna wielokrotność 5 i 2 to 10, czyli potrzeba 2 atomów azotu (2×5=10) i 5 atomów tlenu (5×2=10), co daje wzór N₂O₅.",pułapka: błędne dobranie indeksów na podstawie wartościowości
33,CHEM-P2-C01,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,C,1,"Pierwiastek Z=12 – powłoki, elektrony walencyjne, wiązanie z tlenem","Pierwiastek X ma liczbę atomową 12. Zanim dokładnie sprawdzisz w układzie okresowym — oszacuj „na oko”, czy to raczej metal czy niemetal. Potem określ liczbę powłok, liczbę elektronów walencyjnych i typ wiązania, jakie ten pierwiastek utworzy z tlenem.","Pierwiastek X o liczbie atomowej 12 to magnez (Mg). Magnez leży w lewej części układu okresowego (2. grupa), więc — zgodnie z ogólną zasadą, że metale znajdują się po lewej i w środku układu, a niemetale po prawej stronie — jest to metal. Magnez znajduje się w 3. okresie, więc jego atom ma 3 powłoki elektronowe, a jako pierwiastek 2. grupy ma 2 elektrony walencyjne. Z tlenem — niemetalem o dużej elektroujemności — magnez utworzy wiązanie jonowe: odda swoje 2 elektrony walencyjne, powstając jon Mg²⁺, a tlen przyjmie je, tworząc jon O²⁻; powstały związek to MgO.",
34,CHEM-P2-C02,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,C,2,Atom sodu vs jon Na+ – przewodnictwo NaCl,"Porównaj atom sodu i jon sodu (Na⁺) — czym różnią się liczbą elektronów, a czym nie różnią się wcale? Połącz to z wytłumaczeniem, dlaczego NaCl przewodzi prąd w roztworze wodnym, a stały NaCl nie.","Atom sodu jest obojętny elektrycznie i ma 11 protonów oraz 11 elektronów. Jon Na⁺ powstaje, gdy atom sodu odda 1 elektron walencyjny, więc ma nadal 11 protonów, ale już tylko 10 elektronów — stąd dodatni ładunek. Różnią się więc liczbą elektronów (11 vs 10), a nie różnią się wcale liczbą protonów — to nadal ten sam pierwiastek, sód. To rozróżnienie tłumaczy zachowanie NaCl: w stałym NaCl jony Na⁺ i Cl⁻ tworzą sztywną sieć krystaliczną, w której są unieruchomione i nie mogą się swobodnie poruszać, więc prąd nie jest przewodzony. Po rozpuszczeniu w wodzie sieć krystaliczna rozpada się, a jony Na⁺ i Cl⁻ stają się swobodnie ruchome w roztworze — mogą więc przenosić ładunek elektryczny, dzięki czemu roztwór przewodzi prąd.",
35,CHEM-P2-C03,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,C,3,"CO2 – wiązanie, wzór strukturalny, wartościowość","Mając cząsteczkę CO₂, wskaż: rodzaj wiązania, wzór strukturalny oraz wartościowość węgla i tlenu w tym związku — pokazując, jak te trzy rzeczy są ze sobą powiązane.","W CO₂ mamy do czynienia z wiązaniem kowalencyjnym (atomowym), ponieważ węgiel i tlen to niemetale, a różnica ich elektroujemności nie jest na tyle duża, by doszło do całkowitego przeniesienia elektronów. Węgiel ma wartościowość 4, a tlen wartościowość 2 — te wartościowości mówią, ile wiązań (ile par elektronowych) tworzy każdy z atomów. Ponieważ węgiel musi utworzyć łącznie 4 wiązania, a przypada na niego tylko 2 atomy tlenu (każdy o wartościowości 2, czyli tworzący 2 „jednostki” wiązania), jedynym sposobem na zbilansowanie wartościowości jest utworzenie z każdym atomem tlenu wiązania podwójnego: 2 (wiązania podwójne) × 2 (atomy O) = 4, co zgadza się z wartościowością węgla. Stąd wzór strukturalny to O=C=O — wartościowości obu pierwiastków bezpośrednio wymuszają liczbę i rodzaj wiązań widocznych we wzorze strukturalnym.",
36,CHEM-P2-D01,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,D,1,Błąd: liczba elektronów w jonie Cl-,"Kolega pisze: „Atom chloru ma 17 protonów i 17 elektronów, więc jon Cl⁻ też ma 17 elektronów”. Czy ma rację?","Kolega nie ma racji. To prawda, że obojętny atom chloru ma 17 protonów i 17 elektronów, ale jon Cl⁻ powstaje właśnie przez PRZYJĘCIE dodatkowego elektronu (stąd ujemny ładunek, oznaczony minusem), a nie przez zachowanie takiej samej liczby elektronów jak w atomie. Liczba protonów pozostaje bez zmian — nadal jest to chlor (17 protonów) — ale liczba elektronów wzrasta do 18. To właśnie ten dodatkowy, nadmiarowy elektron w stosunku do liczby protonów daje jonowi ładunek −1. Poprawnie: Cl⁻ ma 17 protonów i 18 elektronów, a nie 17 elektronów jak twierdzi kolega.",zadanie zawiera błąd
37,CHEM-P2-D02,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,D,2,Błąd: MgO jako związek kowalencyjny,"Koleżanka twierdzi: „MgO to związek kowalencyjny, bo magnez i tlen to pierwiastki, a nie metale i niemetale osobno”. Oceń.","Koleżanka nie ma racji. To, że oba składniki są „pierwiastkami” w ogólnym sensie, nie ma znaczenia dla rodzaju wiązania — kluczowe jest to, czy dany pierwiastek jest metalem czy niemetalem oraz jaka jest różnica elektroujemności między nimi. Magnez (Mg) jest metalem, który łatwo oddaje elektrony, a tlen (O) jest niemetalem o dużej elektroujemności, który łatwo przyjmuje elektrony. To klasyczne połączenie metal + niemetal, przy dużej różnicy elektroujemności, prowadzące do CAŁKOWITEGO przeniesienia elektronów — magnez oddaje 2 elektrony, tworząc jon Mg²⁺, a tlen przyjmuje je, tworząc jon O²⁻. Taki mechanizm to definicja wiązania JONOWEGO, a nie kowalencyjnego. Błąd koleżanki polega na pominięciu podziału na metale i niemetale — sam fakt bycia „pierwiastkiem” nic o tym nie mówi.",zadanie zawiera błąd
38,CHEM-P3a-A01,chemia,3a,Reakcje chemiczne,Reakcje chemiczne,A,1,Jak rozpoznać reakcję chemiczną od zjawiska fizycznego,"Wytłumacz, jak w praktyce rozpoznać, czy coś, co się właśnie wydarzyło, to zjawisko fizyczne czy reakcja chemiczna.","W praktyce sprawdzamy, czy powstała nowa substancja o innych właściwościach niż substancje wyjściowe. Jeśli zmienia się tylko stan skupienia, kształt lub rozdrobnienie (np. topnienie, parowanie, kruszenie), a skład chemiczny pozostaje ten sam — to zjawisko fizyczne, które zwykle łatwo cofnąć. Jeśli natomiast powstaje substancja o nowych właściwościach (inny kolor, zapach, wydziela się gaz, wytrąca się osad, wydziela się lub pochłania duża ilość ciepła/światła) i proces jest trudny lub niemożliwy do odwrócenia prostym sposobem fizycznym — to reakcja chemiczna. Dobrym sygnałem są tzw. oznaki reakcji: zmiana barwy, wydzielenie gazu, powstanie osadu, efekt cieplny lub świetlny.",
39,CHEM-P3a-A02,chemia,3a,Reakcje chemiczne,Reakcje chemiczne,A,2,Po co dobiera się współczynniki reakcji,"Po co w ogóle dobiera się współczynniki w równaniu reakcji — co by się stało, gdyby ich nie dobrać poprawnie?","Współczynniki dobiera się, żeby równanie reakcji spełniało prawo zachowania masy — liczba atomów każdego pierwiastka musi być taka sama po stronie substratów i po stronie produktów, bo atomy w reakcji chemicznej nie znikają ani nie powstają znikąd, tylko się przegrupowują. Gdyby współczynników nie dobrano poprawnie, równanie sugerowałoby, że atomy „gdzieś zniknęły” albo „znikąd się pojawiły”, co jest fizycznie niemożliwe. Takie równanie byłoby błędne merytorycznie, nawet gdyby wzory sumaryczne poszczególnych substancji były zapisane poprawnie, i nie nadawałoby się np. do obliczeń stechiometrycznych (mas czy moli reagentów).",
40,CHEM-P3a-B01,chemia,3a,Reakcje chemiczne,Reakcje chemiczne,B,1,Przykład zjawiska fizycznego i reakcji chemicznej,"Podaj po jednym przykładzie zjawiska fizycznego i reakcji chemicznej z życia codziennego i uzasadnij klasyfikację. (pułapka: uznanie topnienia lodu za reakcję chemiczną, bo „coś się zmienia”)","Przykład zjawiska fizycznego: topnienie lodu — woda w stanie stałym zmienia się w ciekłą, ale cały czas jest to ta sama substancja (H₂O); zmienia się tylko stan skupienia, a proces jest odwracalny (można ponownie zamrozić). Przykład reakcji chemicznej: rdzewienie żelaza — żelazo, reagując z tlenem i wilgocią z powietrza, tworzy tlenek żelaza (rdzę), czyli zupełnie nową substancję o innych właściwościach (kruchość, inny kolor), a procesu nie da się odwrócić prostym sposobem fizycznym. Uwaga na pułapkę: topnienie lodu NIE jest reakcją chemiczną, mimo że „coś się zmienia” (stan skupienia) — nie powstaje żadna nowa substancja, więc kryterium „coś się zmienia” jest zbyt ogólne; liczy się to, czy zmienia się skład chemiczny.",pułapka: topnienie lodu jako rzekoma reakcja chemiczna
41,CHEM-P3a-B02,chemia,3a,Reakcje chemiczne,Reakcje chemiczne,B,2,Spalanie papieru – klasyfikacja zjawiska,"Kartka papieru spłonęła, zamieniając się w popiół i dym. Zaklasyfikuj to zjawisko i uzasadnij. (pułapka: uznanie spalania za zjawisko fizyczne, bo „papier tylko zmienił kształt”)","To reakcja chemiczna (spalanie). Papier (celuloza) reaguje z tlenem z powietrza, a powstają nowe substancje — głównie dwutlenek węgla, para wodna i popiół (pozostałości nieorganiczne) — o zupełnie innych właściwościach niż wyjściowy papier, a procesowi towarzyszy silny efekt cieplny i świetlny (płomień). Pułapka: nie można uznać spalania za zjawisko fizyczne tylko dlatego, że „papier zmienił kształt” — kluczowe jest to, że zmienił się też skład chemiczny: powstały zupełnie nowe substancje (CO₂, popiół), których nie da się z powrotem złożyć w kartkę papieru, więc proces jest nieodwracalny i chemiczny.","pułapka: spalanie mylone ze zjawiskiem fizycznym (""tylko zmiana kształtu"")"
42,CHEM-P3a-B03,chemia,3a,Reakcje chemiczne,Reakcje chemiczne,B,3,Bilansowanie Fe + O2 → Fe2O3,Dobierz współczynniki: __Fe + __O₂ → __Fe₂O₃ i wskaż substraty oraz produkty. (pułapka: niedobranie tlenu — poprawnie 4Fe + 3O₂ → 2Fe₂O₃),"Poprawnie zbilansowane równanie to: 4Fe + 3O₂ → 2Fe₂O₃. Substraty: żelazo (Fe) i tlen (O₂). Produkt: tlenek żelaza(III) (Fe₂O₃). Uzasadnienie: po prawej stronie w 2Fe₂O₃ mamy 4 atomy Fe i 6 atomów O, więc po lewej też musi być 4 atomy Fe (stąd 4Fe) i 6 atomów O, czyli 3 cząsteczki O₂ (3×2=6, stąd 3O₂). Pułapka: częsty błąd to zatrzymanie się na niepełnym bilansie tlenu (np. 4Fe + 2O₂ → 2Fe₂O₃) — trzeba policzyć atomy tlenu po obu stronach do końca, a nie tylko dobrać żelazo.",pułapka: niedobranie współczynnika przy tlenie
43,CHEM-P3a-B04,chemia,3a,Reakcje chemiczne,Reakcje chemiczne,B,4,Reakcja egzo- i endotermiczna w kuchni,"Podaj przykład reakcji egzotermicznej i endotermicznej spotykanej w kuchni lub w naturze. (pułapka: pomylenie kierunku — uznanie topnienia lodu, zjawiska fizycznego, za reakcję endotermiczną)","Przykład reakcji egzotermicznej: spalanie gazu w kuchence gazowej — wydziela się ciepło i światło (płomień), energia jest oddawana do otoczenia. Przykład reakcji endotermicznej: fotosynteza — rośliny pochłaniają energię światła słonecznego, aby z CO₂ i wody wytworzyć glukozę i tlen; energia jest pobierana z otoczenia i „magazynowana” w wiązaniach chemicznych. Pułapka: topnienie lodu, mimo że pochłania ciepło z otoczenia, NIE jest reakcją endotermiczną — to zjawisko fizyczne (zmiana stanu skupienia bez powstania nowej substancji); podział na egzo- i endotermiczne dotyczy wyłącznie reakcji chemicznych, więc trzeba wybrać przykład, w którym rzeczywiście powstaje nowa substancja.",pułapka: topnienie lodu jako rzekoma reakcja endotermiczna
44,CHEM-P3a-B05,chemia,3a,Reakcje chemiczne,Reakcje chemiczne,B,5,Rola katalizatora w reakcji,"Jak katalizator wpływa na przebieg reakcji i czy sam ulega zużyciu? (pułapka: przekonanie, że katalizator jest zużywany jak substrat)","Katalizator przyspiesza przebieg reakcji chemicznej, obniżając tzw. energię aktywacji potrzebną do jej zajścia, dzięki czemu reakcja zachodzi szybciej (lub w ogóle zachodzi w danych warunkach). Katalizator sam nie ulega trwałemu zużyciu — bierze udział w reakcji (np. tworzy przejściowe związki pośrednie), ale na końcu odzyskuje swoją pierwotną postać i masę, więc po zakończeniu reakcji jest go tyle samo co na początku. Pułapka: nie należy mylić katalizatora z substratem — substrat jest zużywany i przekształcany w produkt, a katalizator jedynie „ułatwia drogę” reakcji, nie znikając z układu.","pułapka: katalizator mylony z substratem, który się zużywa"
45,CHEM-P3a-C01,chemia,3a,Reakcje chemiczne,Reakcje chemiczne,C,1,"Bilansowanie Al + O2 → Al2O3, prawo zachowania masy","Zanim dobierzesz współczynniki w __Al + __O₂ → __Al₂O₃, oszacuj „na oko”, dlaczego po obu stronach musi być tyle samo atomów glinu i tlenu (odwołaj się do prawa zachowania masy). Potem dobierz współczynniki.","Zanim dobierzemy współczynniki, warto przypomnieć sobie prawo zachowania masy: w reakcji chemicznej atomy nie znikają ani nie powstają, tylko przegrupowują się w nowe cząsteczki, więc liczba atomów każdego pierwiastka po stronie substratów i produktów musi być identyczna. „Na oko” widać, że wzór Al₂O₃ zawiera 2 atomy glinu i 3 atomy tlenu, więc po lewej stronie równania też musimy mieć wielokrotność 2 atomów Al i 3 atomów O — inaczej równanie „zgubiłoby” lub „dodało” atomy znikąd. Po dobraniu współczynników poprawne równanie to: 4Al + 3O₂ → 2Al₂O₃ (4 atomy Al po obu stronach; 6 atomów O po obu stronach: 3×2=6 po lewej, 2×3=6 po prawej). To pytanie sprawdza zarówno rozumienie prawa zachowania masy, jak i praktyczną umiejętność bilansowania równań.",
46,CHEM-P3a-C02,chemia,3a,Reakcje chemiczne,Reakcje chemiczne,C,2,Spalanie węgla – reakcja chemiczna i egzotermiczna,"Reakcja spalania węgla w tlenie jest jednocześnie reakcją chemiczną i egzotermiczną. Wytłumacz, dlaczego to dwie różne, niezależne cechy tej samej reakcji.","To, że reakcja jest „chemiczna”, opisuje jej naturę — oznacza, że substraty (węgiel i tlen) przekształcają się w nową substancję o innych właściwościach (dwutlenek węgla): C + O₂ → CO₂. To, że reakcja jest „egzotermiczna”, opisuje natomiast jej bilans energetyczny — mówi, że w trakcie tej przemiany wydziela się ciepło do otoczenia, a nie jest ono pochłaniane. Te dwie cechy są niezależne, bo każda reakcja chemiczna (bez wyjątku) jest albo egzo-, albo endotermiczna, ale to, do której grupy energetycznej należy, nie decyduje o tym, czy w ogóle jest reakcją chemiczną. Są to więc dwie odrębne klasyfikacje tej samej przemiany, odpowiadające na różne pytania: „co się zmienia (skład)?” i „co dzieje się z energią?”. To pytanie sprawdza rozumienie, że klasyfikacje reakcji (chemiczna/fizyczna oraz egzo-/endotermiczna) opisują różne aspekty tego samego zjawiska.",
47,CHEM-P3a-D01,chemia,3a,Reakcje chemiczne,Reakcje chemiczne,D,1,Błąd: bilansowanie Mg + O2 → MgO,"Kolega zapisał: Mg + O₂ → MgO i twierdzi, że to poprawnie zbilansowane. Sprawdź. (zawiera błąd: powinno być 2Mg + O₂ → 2MgO)","Kolega się myli — równanie Mg + O₂ → MgO NIE jest poprawnie zbilansowane. Po lewej stronie mamy 1 atom Mg i 2 atomy O, a po prawej tylko 1 atom Mg i 1 atom O — liczba atomów tlenu się nie zgadza. Poprawne równanie to: 2Mg + O₂ → 2MgO (2 atomy Mg i 2 atomy O po obu stronach). Żeby wytłumaczyć koledze błąd, warto policzyć razem z nim atomy każdego pierwiastka osobno po obu stronach strzałki — zobaczy wtedy, że tlenu po prawej jest za mało i że trzeba podwoić MgO, a potem, żeby zgadzało się Mg, podwoić też Mg po lewej.",zadanie zawiera błąd
48,CHEM-P3a-D02,chemia,3a,Reakcje chemiczne,Reakcje chemiczne,D,2,Błąd: rozpuszczanie cukru jako reakcja chemiczna,"Koleżanka mówi: „Rozpuszczanie cukru w herbacie to reakcja chemiczna, bo cukier znika, czyli powstaje nowa substancja”. Oceń. (zawiera błąd: to zjawisko fizyczne — cukier nadal jest cukrem, tylko rozproszonym w wodzie)","Koleżanka się myli — rozpuszczanie cukru w herbacie to zjawisko fizyczne, a nie reakcja chemiczna. Cukier „znika z widoku”, bo rozprasza się na poziomie cząsteczek w wodzie, ale nie zmienia swojego składu chemicznego — nadal jest sacharozą, co można udowodnić: gdyby odparować wodę z osłodzonej herbaty, cukier ponownie wytrąciłby się w niezmienionej postaci (proces jest odwracalny). Argument „substancja znika, więc powstaje nowa” jest błędny — kryterium reakcji chemicznej to powstanie substancji o innym składzie i właściwościach, a nie sama „niewidoczność” substancji.",zadanie zawiera błąd
49,CHEM-P3b-A01,chemia,3b,"Tlen, wodór i ich związki chemiczne. Powietrze","Tlen, wodór i ich związki chemiczne. Powietrze",A,1,Powietrze jako mieszanina gazów,"Dlaczego mówimy, że powietrze to mieszanina, a nie związek chemiczny czy pojedynczy pierwiastek?","Powietrze to mieszanina, bo składa się z kilku różnych, niezwiązanych ze sobą chemicznie substancji (głównie azotu, tlenu, argonu, dwutlenku węgla i pary wodnej), które zachowują swoje indywidualne właściwości i można je rozdzielić metodami fizycznymi (np. skraplanie i destylacja frakcyjna). Gdyby powietrze było związkiem chemicznym, jego składniki łączyłyby się ze sobą w stałym stosunku masowym, tworząc jedną, jednorodną substancję o nowych właściwościach — a tak nie jest: proporcje gazów w powietrzu mogą się nieznacznie różnić (np. wilgotność, zanieczyszczenia), co jest typowe dla mieszanin, a nie dla związków.",
50,CHEM-P3b-A02,chemia,3b,"Tlen, wodór i ich związki chemiczne. Powietrze","Tlen, wodór i ich związki chemiczne. Powietrze",A,2,"Dziura ozonowa a tlen, którym oddychamy","Jaki jest związek między „dziurą ozonową” a zwykłym tlenem, którym oddychamy — czy to ten sam gaz?","To nie jest ten sam gaz, choć oba zbudowane są z atomów tlenu. Tlen, którym oddychamy, to cząsteczka dwuatomowa O₂. Ozon, którego ubytek tworzy „dziurę ozonową” w stratosferze, to odmiana alotropowa tlenu o cząsteczce trójatomowej O₃ — ma inne właściwości chemiczne i fizyczne (jest m.in. bardziej reaktywny i toksyczny w wyższych stężeniach), a jego rola w atmosferze (pochłanianie promieniowania UV) jest zupełnie inna niż rola tlenu O₂ w oddychaniu.",
51,CHEM-P3b-B01,chemia,3b,"Tlen, wodór i ich związki chemiczne. Powietrze","Tlen, wodór i ich związki chemiczne. Powietrze",B,1,"Otrzymywanie tlenu, reakcja z magnezem","Opisz jeden sposób otrzymywania tlenu w laboratorium i zapisz równanie reakcji tlenu z magnezem. (pułapka: błędny produkt — powinno być MgO, nie Mg₂O)","Tlen w laboratorium można otrzymać np. przez rozkład nadtlenku wodoru (wody utlenionej) w obecności katalizatora (np. MnO₂): 2H₂O₂ → 2H₂O + O₂, albo przez ogrzewanie nadmanganianu potasu. Równanie reakcji tlenu z magnezem: 2Mg + O₂ → 2MgO. Pułapka: częsty błąd to zapisanie produktu jako Mg₂O — magnez jest pierwiastkiem dwuwartościowym (Mg²⁺), a tlen ma wartościowość II (O²⁻), więc w związku łączą się w stosunku 1:1, dając wzór MgO, a nie Mg₂O; dopiero przy bilansowaniu równania pojawiają się współczynniki 2 przed Mg i przed MgO.",pułapka: błędny wzór produktu (Mg₂O zamiast MgO)
52,CHEM-P3b-B02,chemia,3b,"Tlen, wodór i ich związki chemiczne. Powietrze","Tlen, wodór i ich związki chemiczne. Powietrze",B,2,Zastosowania CaO i CO – który trujący,"Podaj po jednym zastosowaniu tlenku wapnia i tlenku węgla(II), zaznaczając, który jest trujący. (pułapka: mylenie tlenku węgla(II) [CO, trujący] z tlenkiem węgla(IV) [CO₂])","Tlenek wapnia (CaO, wapno palone) stosuje się m.in. w budownictwie do produkcji zaprawy murarskiej i wapna gaszonego oraz w rolnictwie do odkwaszania gleby. Tlenek węgla(II) (CO, czad) znajduje zastosowanie np. w hutnictwie jako reduktor tlenków metali, ale jest silnie trujący, ponieważ blokuje transport tlenu we krwi (łączy się z hemoglobiną silniej niż tlen). Trujący jest więc CO (tlenek węgla(II)), a nie CaO. Pułapka: nie wolno mylić tlenku węgla(II) (CO) z tlenkiem węgla(IV) (CO₂) — to CO jest tym niebezpiecznym „czadem”, podczas gdy CO₂ w normalnych stężeniach nie jest trujący w ten sam sposób (choć w bardzo dużych stężeniach może powodować duszenie się przez brak tlenu).",pułapka: CO mylone z CO₂
53,CHEM-P3b-B03,chemia,3b,"Tlen, wodór i ich związki chemiczne. Powietrze","Tlen, wodór i ich związki chemiczne. Powietrze",B,3,CO2 – fotosynteza i problem klimatyczny,"Wytłumacz, dlaczego CO₂ jest jednocześnie niezbędny do życia roślin i problemem klimatycznym w nadmiarze. Zapisz równanie spalania węgla w tlenie. (pułapka: mylenie roli CO₂ w fotosyntezie z tym, że jest „trujący”)","CO₂ jest niezbędny do życia roślin, ponieważ jest substratem fotosyntezy — rośliny wykorzystują go (wraz z wodą i energią światła) do produkcji glukozy i tlenu. Jednocześnie nadmiar CO₂ w atmosferze, pochodzący głównie ze spalania paliw kopalnych, jest problemem klimatycznym, bo CO₂ jest gazem cieplarnianym — zatrzymuje ciepło w atmosferze i przyczynia się do globalnego ocieplenia. Równanie spalania węgla w tlenie: C + O₂ → CO₂. Pułapka: nie należy mylić dwóch różnych ról tego samego związku — to, że CO₂ jest potrzebny roślinom, nie oznacza, że jest „nietrujący” w każdym kontekście, a problem klimatyczny nie oznacza, że CO₂ jest toksyczny dla organizmów w typowych stężeniach — to dwie osobne kwestie: biologiczna (fotosynteza) i klimatyczna (efekt cieplarniany).",pułapka: rola biologiczna CO₂ mylona z jego toksycznością
54,CHEM-P3b-B04,chemia,3b,"Tlen, wodór i ich związki chemiczne. Powietrze","Tlen, wodór i ich związki chemiczne. Powietrze",B,4,"Otrzymywanie wodoru, reakcja z chlorem",Opisz sposób otrzymania wodoru w laboratorium i zapisz równanie reakcji wodoru z chlorem. (pułapka: błędne współczynniki — H₂ + Cl₂ → 2HCl),"Wodór w laboratorium można otrzymać np. przez reakcję cynku (lub innego aktywnego metalu) z rozcieńczonym kwasem solnym: Zn + 2HCl → ZnCl₂ + H₂. Równanie reakcji wodoru z chlorem: H₂ + Cl₂ → 2HCl. Pułapka: łatwo o błąd we współczynnikach, np. zapisanie H₂ + Cl₂ → HCl (bez „2”) — trzeba sprawdzić bilans atomów: po lewej stronie mamy po 2 atomy wodoru i 2 atomy chloru, więc po prawej też musi być 2 atomy H i 2 atomy Cl, co daje 2 cząsteczki HCl, a nie jedną.",pułapka: brak współczynnika 2 przed HCl
